id_prodi,kode_prodi,tahun,daya_tampung,peminat,diterima,keketatan
111053,11111053,2025,60,296,60,20.27%
111054,11111054,2021,25,347,25,7.2%
111054,11111054,2022,25,463,25,5.4%
111054,11111054,2023,28,638,28,4.39%
111054,11111054,2024,36,789,36,4.56%
111054,11111054,2025,45,1101,45,4.09%
111055,11111055,2021,30,670,30,4.48%
111055,11111055,2022,30,657,30,4.57%
111055,11111055,2023,33,890,33,3.71%
111055,11111055,2024,60,1088,60,5.51%
111055,11111055,2025,69,1077,69,6.41%
111056,11111056,2021,25,436,25,5.73%
111056,11111056,2022,20,398,21,5.03%
111056,11111056,2023,20,632,20,3.16%
111056,11111056,2024,24,619,24,3.88%
111056,11111056,2025,24,544,24,4.41%
111057,11111057,2021,35,127,35,27.56%
111057,11111057,2022,35,116,34,30.17%
111057,11111057,2023,38,146,38,26.03%
111057,11111057,2024,48,153,48,31.37%
111057,11111057,2025,48,169,48,28.4%
111058,11111058,2021,35,187,35,18.72%
111058,11111058,2022,35,210,35,16.67%
111058,11111058,2023,38,184,38,20.65%
111058,11111058,2024,48,222,48,21.62%
111058,11111058,2025,36,224,36,16.07%
111059,11111059,2021,35,363,35,9.64%
111059,11111059,2022,35,356,37,9.83%
111059,11111059,2023,38,561,36,6.77%
111059,11111059,2024,54,578,54,9.34%
111059,11111059,2025,54,531,54,10.17%
111060,11111060,2021,25,321,25,7.79%
111060,11111060,2022,25,281,25,8.9%
111060,11111060,2023,28,338,28,8.28%
111060,11111060,2024,42,327,42,12.84%
111060,11111060,2025,42,317,42,13.25%
111061,11111061,2021,35,171,35,20.47%
111061,11111061,2022,35,233,35,15.02%
111061,11111061,2023,38,244,38,15.57%
111061,11111061,2024,54,258,54,20.93%
111061,11111061,2025,54,323,54,16.72%
111062,11111062,2021,35,267,35,13.11%
111062,11111062,2022,54,296,54,18.24%
111062,11111062,2023,40,267,40,14.98%
111062,11111062,2024,48,265,48,18.11%
111062,11111062,2025,48,253,48,18.97%
111063,11111063,2021,23,16,15,143.75%
111063,11111063,2022,13,12,7,108.33%
111063,11111063,2023,15,28,15,53.57%
111063,11111063,2024,24,34,19,70.59%
111063,11111063,2025,24,23,16,104.35%
111078,11111078,2025,15,43,15,34.88%
111065,11112065,2023,20,49,20,40.82%
111065,11112065,2024,24,75,24,32%
111065,11112065,2025,24,87,24,27.59%
111064,11113064,2023,10,7,6,142.86%
111064,11113064,2024,9,10,9,90%
111064,11113064,2025,9,14,9,64.29%
111066,11113066,2023,25,12,11,208.33%
111066,11113066,2024,24,17,15,141.18%
111066,11113066,2025,30,9,7,333.33%
111067,11113067,2023,8,9,3,88.89%
111067,11113067,2024,12,9,7,133.33%
111067,11113067,2025,12,18,12,66.67%
111068,11113068,2023,10,8,6,125%
111068,11113068,2024,12,5,2,240%
111068,11113068,2025,18,5,4,360%
111069,11113069,2023,8,11,3,72.73%
111069,11113069,2024,12,16,12,75%
111069,11113069,2025,12,15,12,80%
111071,11113071,2023,15,15,4,100%
111071,11113071,2024,24,15,13,160%
111071,11113071,2025,24,11,8,218.18%
111072,11113072,2023,13,3,2,433.33%
111072,11113072,2024,12,18,12,66.67%
111072,11113072,2025,12,19,12,63.16%
111073,11113073,2023,13,10,7,130%
111073,11113073,2024,12,20,12,60%
111073,11113073,2025,12,20,12,60%
111075,11113075,2023,20,27,23,74.07%
111075,11113075,2024,24,15,14,160%
111075,11113075,2025,24,12,11,200%
111076,11113076,2023,20,35,20,57.14%
111076,11113076,2024,24,36,24,66.67%
111076,11113076,2025,24,48,24,50%
111077,11113077,2023,15,11,9,136.36%
111077,11113077,2024,24,33,20,72.73%
111077,11113077,2025,24,21,17,114.29%
112001,11121001,2021,150,272,150,55.15%
112001,11121001,2022,150,268,150,55.97%
112001,11121001,2023,150,238,150,63.03%
112001,11121001,2024,150,214,150,70.09%
112001,11121001,2025,165,265,165,62.26%
112002,11121002,2021,150,189,138,79.37%
112002,11121002,2022,150,198,103,75.76%
112002,11121002,2023,150,195,108,76.92%
112002,11121002,2024,150,215,150,69.77%
112002,11121002,2025,150,243,150,61.73%
112003,11121003,2021,150,121,71,123.97%
112003,11121003,2022,150,138,65,108.7%
112003,11121003,2023,150,94,69,159.57%
112003,11121003,2024,150,126,94,119.05%
112003,11121003,2025,125,124,100,100.81%
112004,11121004,2021,100,135,71,74.07%
112004,11121004,2022,100,125,61,80%
112004,11121004,2023,100,111,74,90.09%
112004,11121004,2024,100,158,100,63.29%
112004,11121004,2025,100,164,100,60.98%
112005,11121005,2021,125,212,125,58.96%
112005,11121005,2022,125,273,125,45.79%
112005,11121005,2023,125,265,125,47.17%
112005,11121005,2024,125,259,125,48.26%
112005,11121005,2025,125,367,125,34.06%
112006,11121006,2021,125,569,125,21.97%
112006,11121006,2022,125,621,126,20.13%
112006,11121006,2023,125,647,125,19.32%
112006,11121006,2024,125,645,125,19.38%
112006,11121006,2025,148,640,148,23.13%
112007,11121007,2021,100,102,67,98.04%
112007,11121007,2022,100,130,66,76.92%
112007,11121007,2023,100,90,64,111.11%
112007,11121007,2024,100,84,58,119.05%
112007,11121007,2025,75,81,57,92.59%
112008,11121008,2021,120,218,120,55.05%
112008,11121008,2022,120,255,120,47.06%
112008,11121008,2023,120,278,120,43.17%
112008,11121008,2024,135,242,135,55.79%
112008,11121008,2025,150,291,150,51.55%
112009,11121009,2021,60,206,60,29.13%
112009,11121009,2022,60,228,60,26.32%
112009,11121009,2023,60,178,60,33.71%
112009,11121009,2024,75,187,75,40.11%
112009,11121009,2025,125,274,125,45.62%
112010,11121010,2021,45,25,15,180%
112010,11121010,2022,45,33,18,136.36%
112010,11121010,2023,45,24,19,187.5%
112010,11121010,2024,45,19,16,236.84%
112010,11121010,2025,50,51,33,98.04%
112011,11121011,2021,24,661,24,3.63%
112011,11121011,2022,24,718,29,3.34%
112011,11121011,2023,39,802,41,4.86%
112011,11121011,2024,47,738,47,6.37%
112011,11121011,2025,47,707,46,6.65%
112012,11121012,2021,60,31,15,193.55%
112012,11121012,2022,60,48,17,125%
112012,11121012,2023,60,39,27,153.85%
112012,11121012,2024,60,54,29,111.11%
112012,11121012,2025,60,46,27,130.43%
